seq_con, seq_quer, kdt_con, kdt_quer, lsh_co1, lsh_que1, lsh_co1, lsh_que2
01.0377, 0.001250, 01.7965, 0.000094, 02.1454, 0.001170, 02.1296, 0.001155
01.0620, 0.001071, 01.8910, 0.000159, 02.3593, 0.001266, 02.3122, 0.001273
01.0838, 0.001282, 02.0938, 0.000651, 02.2527, 0.000951, 02.2581, 0.001060
01.1137, 0.001475, 02.2042, 0.000331, 02.3898, 0.001377, 02.2674, 0.001034
01.1325, 0.001565, 02.3417, 0.000490, 02.6378, 0.002323, 02.4031, 0.001127
01.1888, 0.001625, 02.5165, 0.000690, 02.5225, 0.001751, 02.5461, 0.001394
01.1997, 0.001686, 02.5732, 0.000997, 02.4304, 0.001630, 02.4703, 0.001339
01.2272, 0.001823, 02.9216, 0.001473, 02.8345, 0.001661, 02.6127, 0.001393
01.2794, 0.001966, 03.0211, 0.002891, 03.1438, 0.001844, 02.6428, 0.001505
01.2718, 0.002135, 03.1663, 0.003700, 03.4526, 0.001839, 02.7560, 0.001552
01.2879, 0.002268, 03.2847, 0.005903, 03.8314, 0.002286, 02.8302, 0.001692
01.3238, 0.002316, 03.2991, 0.007529, 04.5156, 0.002886, 02.8831, 0.001795
01.4637, 0.002476, 03.5879, 0.010119, 05.0084, 0.002895, 02.9815, 0.001923
01.3752, 0.002450, 03.5942, 0.012911, 06.8770, 0.002802, 03.2068, 0.002236
01.4152, 0.002565, 03.7051, 0.016622, 07.4146, 0.002638, 03.1494, 0.002258
01.4488, 0.002810, 04.0670, 0.023700, 08.8148, 0.003038, 03.4850, 0.002402
01.5162, 0.003075, 04.2016, 0.028861, 09.8275, 0.003477, 03.6885, 0.002411
01.5156, 0.002935, 04.2088, 0.030302, 11.2577, 0.003529, 03.7609, 0.002732
01.4450, 0.003074, 04.3381, 0.032296, 11.9068, 0.003859, 03.7629, 0.002929
