3 100000
0.9937341626 0.8907055350 0.9843901461
0.3883028063 0.0935862787 0.1118461309
0.3875969920 0.8097889590 0.5682132218
0.3559028343 0.5281354024 0.0095321939
0.0504305250 0.5022335752 0.4466577163
0.5346497101 0.1798786764 0.7918661464
0.4518548340 0.7674196513 0.1162506040
0.6057682596 0.9915942810 0.1255836162
0.6446165398 0.6416309013 0.7111201957
0.9503991825 0.1419422003 0.4832762949
0.0594367362 0.9071104713 0.6074229572
0.8517791834 0.5496596303 0.8044593136
0.9725891561 0.1867607757 0.5292681509
0.8570407918 0.4963021039 0.2960169241
0.5879144021 0.0039165426 0.3670524028
0.4493951334 0.8802207357 0.8351164003
0.6171818913 0.9725474072 0.7217776985
0.4077957368 0.2624243213 0.9772503683
0.4608938189 0.4518820574 0.2632166437
0.8993660956 0.3336838784 0.5837210009
0.4065784568 0.2778315536 0.6074914055
0.5724643155 0.6595630155 0.4837411398
0.2183186029 0.6866776379 0.1278446486
0.8848527442 0.9390387588 0.2865851884
0.5505558766 0.4067012164 0.6611794122
0.6504689033 0.8874778956 0.8948808245
0.1934752142 0.7207367573 0.9174343344
0.4321295738 0.4120547683 0.7946216469
0.5308299100 0.1942045564 0.4609170395
0.8662700311 0.9113732014 0.9759846030
0.4022836719 0.8545419270 0.3748953888
0.3073494345 0.0596960539 0.6989011601
0.4003224128 0.9711093539 0.6056143038
0.5631977840 0.6424813591 0.9322465016
0.5553797836 0.5570861645 0.9701441400
0.6249939168 0.3336655499 0.7606325439
0.8231682925 0.2815215464 0.1242502471
0.0085510851 0.7730196792 0.7852946097
0.2634624867 0.5474529111 0.8919150651
0.5506958512 0.1068264497 0.3602465837
0.5095459167 0.1335079649 0.3156269510
0.9538875152 0.2389778605 0.1565682648
0.9362649888 0.9718583679 0.0103054566
0.4237904367 0.4145658609 0.3622499032
0.8801860550 0.4194169143 0.5604135140
0.7219460578 0.0972377646 0.5059369337
0.5590122367 0.6960377717 0.2093974719
0.4407694958 0.6250574724 0.0647009689
0.7403817821 0.7095933433 0.0030523722
0.2351325272 0.1678808842 0.9883939963
0.5020405087 0.7017149315 0.5362043051
0.0129203282 0.1661520800 0.1163551096
0.2238895438 0.7121676185 0.0393622230
0.4716412876 0.1411084518 0.4876928827
0.2151033426 0.2637309389 0.8527079296
0.5608868212 0.1558554352 0.5618169353
0.5553840570 0.4111922643 0.0685122220
0.1905029209 0.6210210709 0.3641092817
0.4752471474 0.9301853507 0.2020010660
0.7391481301 0.9985892227 0.0663832780
0.3465113947 0.4962609059 0.7138293750
0.7019199929 0.3916526609 0.9051480556
0.4115489775 0.9382291416 0.8194539155
0.7799683898 0.7621505084 0.0929870866
0.8057980251 0.4294403433 0.7984457130
0.2574623355 0.3158089805 0.0409269458
0.9103280138 0.1941796810 0.8620471843
0.4341390512 0.3792906542 0.7619976882
0.0994566387 0.0544587075 0.1711689883
0.7877011578 0.4350458319 0.1052196074
0.0933104391 0.9582279874 0.6890481950
0.2555092637 0.2042442862 0.4738359039
