3 100
0.4779612756 0.3206758067 0.3941290522
0.3617688994 0.8604189899 0.1309942743
0.5183397971 0.1564795710 0.6398940430
0.4133832136 0.8292383176 0.6027693159
0.2319884008 0.5561165005 0.6712425250
0.2339356099 0.3029375664 0.9837088404
0.0727739355 0.0860044902 0.9207847078
0.4429976863 0.8225248159 0.1785054816
0.0333843305 0.8126610037 0.4537372018
0.2469615956 0.1899290422 0.8006428355
0.9798444218 0.9943641900 0.2173834568
0.2603956826 0.2345429723 0.5675883573
0.0937966059 0.6194398771 0.0669497408
0.2295578977 0.0349856871 0.2632442107
0.3456118878 0.6336489578 0.2234991692
0.0959971890 0.2433636687 0.5196838919
0.2507237447 0.5559171201 0.8055065827
0.8387015560 0.3693495331 0.2806197315
0.0535334092 0.9900047038 0.1267066321
0.4316321311 0.3025916563 0.0246664623
0.0882535403 0.1035671198 0.3721662291
0.5671013185 0.6509904215 0.4955530457
0.0218070311 0.6832443943 0.7712300568
0.0515995510 0.2091663143 0.3936900979
0.2870797450 0.4573437883 0.0734915852
0.5775094875 0.4099166913 0.6526652581
0.7826404468 0.1003990107 0.2875105614
0.7401552377 0.3758297895 0.1272400420
0.8721400551 0.8512617341 0.1083655751
0.5523722210 0.6529625777 0.0039208698
0.1439295719 0.4515110858 0.4331486137
0.7509770410 0.6374259571 0.4185530404
0.2300113608 0.4245945862 0.7232107710
0.6541056052 0.3140288088 0.2600415106
0.8594124749 0.6213594245 0.8003011629
0.9171708416 0.8572702341 0.1611386657
0.9307865785 0.4619025553 0.9918923790
0.4202076599 0.4965675498 0.0704385380
0.5095121103 0.9697187195 0.2360379802
0.3710368911 0.0446593233 0.4794320722
0.5865344638 0.8047322974 0.4144307205
0.8950907930 0.9100793925 0.5055510253
0.6607474886 0.7504126697 0.8785517240
0.1183500931 0.5071347723 0.4993538797
0.3708901350 0.4459677773 0.3753478343
0.5267234549 0.5566376723 0.3448571728
0.6162602125 0.1121684650 0.3418591229
0.3420063291 0.9394685349 0.1182246330
0.1112729370 0.7811185480 0.0877877570
0.1019131425 0.8624167848 0.6599335210
0.6396411126 0.1516231130 0.5351251144
0.4260590351 0.0130781698 0.6954485633
0.1089998068 0.0998976740 0.4158936021
0.9827015328 0.3747338123 0.4073510043
0.0505827164 0.8271898687 0.4057801645
0.7495969317 0.4815277244 0.4550790914
0.5649715556 0.6156379684 0.3699290471
0.5368048412 0.5521098571 0.6727585996
0.4749704874 0.2457240724 0.4849589109
0.0769430754 0.7943775538 0.8090473514
0.2694378026 0.4817212842 0.7228252682
0.7348150494 0.7239341718 0.9420694732
0.1903468974 0.9577447990 0.1597493871
0.8956450660 0.4123953623 0.6661211302
0.5462587124 0.0914984860 0.0843635929
0.0670596755 0.5610959748 0.0175785100
0.2576531223 0.0255129482 0.1138036850
0.5906096849 0.1710322534 0.4989447087
0.2768415033 0.4192214436 0.9474482449
0.0243647491 0.6719115036 0.1885060528
0.2875408245 0.4417770269 0.9258140054
0.8898914770 0.7749516907 0.3477234288
0.9464218880 0.4975047939 0.1942811538
0.2235723676 0.0256664976 0.5652132292
0.4985834435 0.6676535710 0.0197974721
0.3779009127 0.9365493766 0.2229103010
0.4170873318 0.1526955020 0.3496166544
0.2598594990 0.1649308467 0.3109356104
0.1749814297 0.0680161981 0.6319977865
0.9234018012 0.6383333370 0.4163095807
0.8083727798 0.5988102170 0.6616602545
0.3873023495 0.9347624096 0.9029992240
0.9185170861 0.2603264653 0.5043428742
0.8376837764 0.4040102727 0.7121879276
0.3210535169 0.8079751312 0.2358099983
0.7111367760 0.8546800057 0.2830773886
0.6135994753 0.2145637894 0.2608404364
0.3315469803 0.6280945923 0.7467054476
0.2342303024 0.4704244456 0.0722188999
0.7284330045 0.8463305897 0.0645743530
0.4526399584 0.8954250058 0.7840014767
0.1912919976 0.2820427793 0.8685008204
0.2628465054 0.3135932240 0.4446243278
0.5010173604 0.3152357279 0.4952183176
0.2632249538 0.0909837753 0.6040220429
0.3417053737 0.6995406436 0.4628188415
0.6347557237 0.8127053208 0.1154302356
0.6569477489 0.8319190176 0.0776289526
0.1184169522 0.8224464956 0.0916158225
0.6155149709 0.5046176886 0.9383327015
